galid,ra,dec,mag,sed_name,z,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,catsim_id
13159835466779,53.2123648,-27.3363118,21.1108495,galaxySED/Const.20E09.1Z.spec.gz,1.92,sersic2d,0.535217404,0.126048297,6.81444788,1,12851401823
13205637955611,52.7950123,-27.2506158,20.3243542,galaxySED/Const.32E09.04Z.spec.gz,1.44,sersic2d,0.836179972,0.181687295,263.079559,1,12896130816
13205637956635,52.7953882,-27.2504179,21.0073747,galaxySED/Const.32E09.04Z.spec.gz,1.44,sersic2d,0.836179972,0.181687295,263.079559,1,12896130817
13205637957659,52.7948519,-27.2503984,20.5463032,galaxySED/Const.32E09.04Z.spec.gz,1.44,sersic2d,0.836179972,0.181687295,263.079559,1,12896130818
13205637958683,52.7951208,-27.2501246,20.4874647,galaxySED/Const.32E09.04Z.spec.gz,1.44,sersic2d,0.836179972,0.181687295,263.079559,1,12896130819
13214803370011,53.02945,-27.5051659,21.3001681,galaxySED/Exp.16E09.1Z.spec.gz,1.84,sersic2d,0.413723111,0.0893568993,132.061569,1,12905081416
13214803371035,53.0291448,-27.5050132,23.4417726,galaxySED/Exp.16E09.1Z.spec.gz,1.84,sersic2d,0.413723111,0.0893568993,132.061569,1,12905081417
13740514000923,52.7482408,-27.2624587,21.9189201,galaxySED/Inst.25E09.04Z.spec.gz,0.74,sersic2d,0.60590601,0.197505295,162.66011,1,13418470704
13740514001947,52.7478898,-27.2622833,22.8235642,galaxySED/Inst.25E09.04Z.spec.gz,0.74,sersic2d,0.60590601,0.197505295,162.66011,1,13418470705
14512602247195,53.1660325,-27.1960132,23.6091466,galaxySED/Exp.20E09.1Z.spec.gz,2.06,sersic2d,0.869600296,0.707914174,11.3156824,1,14172463132
14512602248219,53.1661922,-27.1959648,22.6503212,galaxySED/Exp.20E09.1Z.spec.gz,2.06,sersic2d,0.869600296,0.707914174,11.3156824,1,14172463133
15328051519515,52.8864965,-27.6640706,23.0330822,galaxySED/Inst.50E07.02Z.spec.gz,1.97,sersic2d,1.09724545,0.601400197,187.446762,1,14968800312
15328051520539,52.8861092,-27.663752,22.1496981,galaxySED/Inst.50E07.02Z.spec.gz,1.97,sersic2d,1.09724545,0.601400197,187.446762,1,14968800313
15513426296859,52.9117146,-27.265693,21.0676058,galaxySED/Inst.20E09.04Z.spec.gz,1.18,sersic2d,0.934221506,0.271490306,104.817001,1,15149830368
15513426297883,52.9117476,-27.2651644,20.6611031,galaxySED/Inst.20E09.04Z.spec.gz,1.18,sersic2d,0.934221506,0.271490306,104.817001,1,15149830369
15629179510811,52.786899,-27.6348829,23.1075973,galaxySED/Burst.20E09.04Z.spec.gz,1.07,sersic2d,0.843049705,0.517949581,151.902344,1,15262870616
15629179511835,52.7862986,-27.634732,22.4773897,galaxySED/Burst.20E09.04Z.spec.gz,1.07,sersic2d,0.843049705,0.517949581,151.902344,1,15262870617
15649466429467,53.25937,-27.3407359,21.0825909,galaxySED/Burst.16E09.1Z.spec.gz,1.44,sersic2d,0.274748504,0.100549698,231.690292,1,15282682060
15649466430491,53.2592827,-27.3405497,21.5178107,galaxySED/Burst.16E09.1Z.spec.gz,1.44,sersic2d,0.274748504,0.100549698,231.690292,1,15282682061
16800471343131,52.7808836,-27.4346371,23.7967804,galaxySED/Burst.40E09.04Z.spec.gz,0.66,sersic2d,0.277981699,0.194323301,14.8812208,1,16406710296
16800471344155,52.7811827,-27.4345161,23.3809576,galaxySED/Burst.40E09.04Z.spec.gz,0.66,sersic2d,0.277981699,0.194323301,14.8812208,1,16406710297
18375711395867,53.1097819,-27.5598711,25.5076941,galaxySED/Inst.16E09.04Z.spec.gz,1.34,sersic2d,0.881098807,0.694141805,96.6664047,1,17945030660
18375711396891,53.1097261,-27.5594877,25.5705546,galaxySED/Inst.16E09.04Z.spec.gz,1.34,sersic2d,0.881098807,0.694141805,96.6664047,1,17945030661
18375732842523,52.7998809,-27.5616703,26.8021466,galaxySED/Inst.16E09.04Z.spec.gz,1.57,sersic2d,0.881098807,0.694141805,96.6664047,1,17945051604
18375732843547,52.7999338,-27.561528,27.6793128,galaxySED/Inst.16E09.04Z.spec.gz,1.57,sersic2d,0.881098807,0.694141805,96.6664047,1,17945051605
19624450109467,52.8231637,-27.2808257,21.5127209,galaxySED/Const.50E09.25Z.spec.gz,1.44,sersic2d,0.254310697,0.0598752983,109.714645,1,19164502060
19624450110491,52.8230765,-27.2806395,21.9479407,galaxySED/Const.50E09.25Z.spec.gz,1.44,sersic2d,0.254310697,0.0598752983,109.714645,1,19164502061
19946035519515,53.2418519,-27.2262327,25.9177124,galaxySED/Const.10E10.25Z.spec.gz,1.97,sersic2d,0.0697131008,0.0147821,323.114197,1,19478550312
19946035520539,53.2414662,-27.2259142,25.0343283,galaxySED/Const.10E10.25Z.spec.gz,1.97,sersic2d,0.0697131008,0.0147821,323.114197,1,19478550313
20034993156123,53.1669477,-27.7040227,22.1528019,galaxySED/Exp.20E09.1Z.spec.gz,2.41,sersic2d,0.954636216,0.781287313,11.2550106,1,19565423004
20034993157147,53.1670815,-27.7038725,22.2478692,galaxySED/Exp.20E09.1Z.spec.gz,2.41,sersic2d,0.954636216,0.781287313,11.2550106,1,19565423005
21586831884315,52.748133,-27.2627354,22.5434237,galaxySED/Burst.40E09.04Z.spec.gz,0.62,sersic2d,0.122866303,0.0641700029,239.928482,1,21080890512
21586831885339,52.7481669,-27.2625031,23.3893163,galaxySED/Burst.40E09.04Z.spec.gz,0.62,sersic2d,0.122866303,0.0641700029,239.928482,1,21080890513
21686651007003,53.1730852,-27.6695706,23.3058906,galaxySED/Inst.40E09.04Z.spec.gz,0.62,sersic2d,0.388380587,0.195649996,290.272552,1,21178370124
21686651008027,53.1737753,-27.6692837,22.8471897,galaxySED/Inst.40E09.04Z.spec.gz,0.62,sersic2d,0.388380587,0.195649996,290.272552,1,21178370125
21686651009051,53.1738046,-27.6689698,22.5928259,galaxySED/Inst.40E09.04Z.spec.gz,0.62,sersic2d,0.388380587,0.195649996,290.272552,1,21178370126
21686651010075,53.1731629,-27.6688727,23.9655924,galaxySED/Inst.40E09.04Z.spec.gz,0.62,sersic2d,0.388380587,0.195649996,290.272552,1,21178370127
21758535790619,52.9198149,-27.4274938,25.5189986,galaxySED/Inst.12E07.25Z.spec.gz,1.54,sersic2d,0.143146604,0.0333024003,235.806458,1,21248570108
21758535791643,52.9203405,-27.4266615,23.9977563,galaxySED/Inst.12E07.25Z.spec.gz,1.54,sersic2d,0.143146604,0.0333024003,235.806458,1,21248570109
22156258639899,53.1460122,-27.2192781,24.9320376,galaxySED/Inst.19E07.25Z.spec.gz,1.57,sersic2d,0.0631287992,0.0133765005,155.194778,1,21636971328
22156258640923,53.1458446,-27.2189988,25.3517088,galaxySED/Inst.19E07.25Z.spec.gz,1.57,sersic2d,0.0631287992,0.0133765005,155.194778,1,21636971329
22832322617371,52.9596881,-27.6572985,23.6973389,galaxySED/Burst.20E09.04Z.spec.gz,1.33,sersic2d,0.547451496,0.4652538,339.772369,1,22297190056
22832322618395,52.9600556,-27.6574034,25.4864226,galaxySED/Burst.20E09.04Z.spec.gz,1.33,sersic2d,0.547451496,0.4652538,339.772369,1,22297190057
23078698098715,53.0247248,-27.6721281,22.3099153,galaxySED/Const.32E09.25Z.spec.gz,1.59,sersic2d,0.29422611,0.0655175969,347.601044,1,22537791112
23078698099739,53.0248675,-27.6719005,22.4394461,galaxySED/Const.32E09.25Z.spec.gz,1.59,sersic2d,0.29422611,0.0655175969,347.601044,1,22537791113
23265218875419,52.7495784,-27.3058894,22.1245867,galaxySED/Const.12E10.25Z.spec.gz,1.52,sersic2d,0.467846811,0.1004752,222.374969,1,22719940308
23265218876443,52.7490044,-27.3056906,23.0748393,galaxySED/Const.12E10.25Z.spec.gz,1.52,sersic2d,0.467846811,0.1004752,222.374969,1,22719940309
23333130735643,52.7329208,-27.5509202,25.0611695,galaxySED/Const.62E09.04Z.spec.gz,3.73,sersic2d,0.991631329,0.918901503,182.112442,1,22786260484
23333130736667,52.7326809,-27.5506327,24.710808,galaxySED/Const.62E09.04Z.spec.gz,3.73,sersic2d,0.991631329,0.918901503,182.112442,1,22786260485
23753135505435,52.977583,-27.628391,22.460572,galaxySED/Const.62E09.25Z.spec.gz,1.87,sersic2d,0.329942614,0.0664232001,127.893211,1,23196421392
23753135506459,52.9771207,-27.6284314,24.291077,galaxySED/Const.62E09.25Z.spec.gz,1.87,sersic2d,0.329942614,0.0664232001,127.893211,1,23196421393
24537958580251,52.7100535,-27.4027876,23.8360366,galaxySED/Burst.40E09.04Z.spec.gz,0.8,sersic2d,0.151174098,0.0719871968,11.8994761,1,23962850176
24537958581275,52.7102773,-27.4025105,26.0878098,galaxySED/Burst.40E09.04Z.spec.gz,0.8,sersic2d,0.151174098,0.0719871968,11.8994761,1,23962850177
25132237119515,53.2581411,-27.2386339,23.596061,galaxySED/Inst.50E07.02Z.spec.gz,1.97,sersic2d,0.680119693,0.324530005,8.34213543,1,24543200312
25132237120539,53.2577553,-27.2383154,22.7126768,galaxySED/Inst.50E07.02Z.spec.gz,1.97,sersic2d,0.680119693,0.324530005,8.34213543,1,24543200313
25553121636379,53.0851346,-27.1483034,23.6551612,galaxySED/Inst.40E09.04Z.spec.gz,0.82,sersic2d,0.276793599,0.175649494,222.082092,1,24954220348
25553121637403,53.085286,-27.1483555,25.39182,galaxySED/Inst.40E09.04Z.spec.gz,0.82,sersic2d,0.276793599,0.175649494,222.082092,1,24954220349
25751247556635,53.3081794,-27.322195,23.0575279,galaxySED/Exp.20E09.1Z.spec.gz,2.06,sersic2d,0.627480328,0.503354311,158.473923,1,25147702692
25751247557659,53.3083865,-27.3222627,22.6958889,galaxySED/Exp.20E09.1Z.spec.gz,2.06,sersic2d,0.627480328,0.503354311,158.473923,1,25147702693
25753336651803,53.0164079,-27.2841411,22.9193668,galaxySED/Const.50E09.04Z.spec.gz,2.71,sersic2d,0.753254712,0.612000108,333.999603,1,25149742824
25753336652827,53.016127,-27.2836414,23.6234995,galaxySED/Const.50E09.04Z.spec.gz,2.71,sersic2d,0.753254712,0.612000108,333.999603,1,25149742825
25753336653851,53.0167552,-27.2838277,22.3365586,galaxySED/Const.50E09.04Z.spec.gz,2.71,sersic2d,0.753254712,0.612000108,333.999603,1,25149742826
25753336654875,53.0166908,-27.2835491,22.425017,galaxySED/Const.50E09.04Z.spec.gz,2.71,sersic2d,0.753254712,0.612000108,333.999603,1,25149742827
