#detector;R:1,0 S:1,1;62.399995;0.000000;41.999998;82.799987;-19.999999;19.999999;0.200000
#detector;R:1,0 S:0,0;21.999999;-40.399998;2.000000;41.999998;-60.799995;-19.999999;0.200000
#detector;R:0,0 S:1,1;-22.000000;0.000000;-41.999998;-2.000000;-20.400000;20.400000;0.200000
#detector;R:0,0 S:0,0;-62.399993;-40.399995;-82.399987;-42.399995;-60.799993;-19.999997;0.200000
#detector;R:1,0 S:0,2;21.999999;40.399998;2.000000;41.999998;19.999999;60.799995;0.200000
#detector;R:1,0 S:1,0;62.399993;-40.399995;42.399995;82.399987;-60.799993;-19.999997;0.200000
#detector;R:0,0 S:0,2;-62.399993;40.399995;-82.399987;-42.399995;19.999997;60.799993;0.200000
#detector;R:0,0 S:1,0;-21.999999;-40.399998;-42.399998;-1.600000;-60.399995;-20.399999;0.200000
#detector;R:1,0 S:1,2;62.399993;40.399995;42.399995;82.399987;19.999997;60.799993;0.200000
#detector;R:1,0 S:0,1;22.000000;0.000000;2.000000;41.999998;-20.400000;20.400000;0.200000
#detector;R:0,0 S:1,2;-21.999999;40.399998;-41.999998;-2.000000;19.999999;60.799995;0.200000
#detector;R:0,0 S:0,1;-62.399995;0.000000;-82.399987;-42.399998;-20.399999;20.399999;0.200000
#galSimType;uniqueId;raObserved;decObserved;chipName;x_pupil;y_pupil;sedFilepath;majorAxis;minorAxis;sindex;halfLightRadius;positionAngle;fitsFiles;redshift
sersic;2153665955866;1.54766569;-4.82315707;None;-1.32517254;-37.4246998;galaxySED/Inst.25E07.02Z.spec.gz;1.26140368e-06;1.22326147e-06;4;0.260183185;4.83587337;R:1,0 S:0,0//R:0,0 S:1,0;2.2506032
sersic;2152594786330;1.549102;-4.82544288;None;6.49476218;-43.1788939;galaxySED/Inst.40E09.04Z.spec.gz;1.41861962e-06;1.40290925e-06;4;0.292611301;3.17900261;R:1,0 S:0,0;0.966223419
sersic;2157796844570;1.54910156;-4.82433164;None;2.50563777;-42.8777105;galaxySED/Inst.16E09.02Z.spec.gz;1.22930964e-06;9.9285866e-07;4;0.253563315;3.19473523;R:1,0 S:0,0//R:0,0 S:1,0;3.17452168
sersic;2157756508186;1.54913951;-4.82173969;R:0,0 S:1,0;-6.80935802;-42.3146922;galaxySED/Inst.25E09.02Z.spec.gz;1.06188549e-06;1.06161155e-06;4;0.219029605;3.18268603;R:0,0 S:1,0;1.47831798
sersic;2152910603290;1.55146023;-4.82505302;None;4.46171107;-51.5095717;galaxySED/Burst.25E09.02Z.spec.gz;1.0160211e-06;9.00151121e-07;4;0.209569395;5.7156236;R:1,0 S:0,0;1.76438284
sersic;2150545898522;1.55042877;-4.82087794;R:0,0 S:1,0;-10.2493149;-46.6942791;galaxySED/Inst.40E09.002Z.spec.gz;7.83102071e-07;6.30648091e-07;4;0.161526397;4.69647606;R:0,0 S:1,0;0.453065604
sersic;2152497806362;1.55181622;-4.82295516;R:0,0 S:1,0;-3.16500867;-52.2174543;galaxySED/Inst.20E09.02Z.spec.gz;3.32416852e-07;2.82699708e-07;4;0.0685658976;5.35698156;R:0,0 S:1,0;1.98648393
sersic;2154350824474;1.54561525;-4.82370066;None;1.17709562;-30.2364618;galaxySED/Inst.25E09.04Z.spec.gz;1.75901747e-06;1.07392917e-06;4;0.362823397;3.28160888;R:1,0 S:0,0//R:0,0 S:1,0;1.21118295
sersic;2153799280666;1.5467957;-4.82311138;None;-1.25549096;-34.3002711;galaxySED/Inst.20E09.02Z.spec.gz;3.05139788e-07;3.0274723e-07;4;0.0629395992;3.18406395;R:0,0 S:1,0;1.57105684
sersic;2164996302874;1.54637444;-4.82208437;R:0,0 S:1,0;-4.82917213;-32.516447;galaxySED/Inst.25E09.02Z.spec.gz;3.69646673e-07;2.77121926e-07;4;0.0762450993;3.78833387;R:0,0 S:1,0;1.64923716
sersic;2159311346714;1.5457995;-4.82253459;R:0,0 S:1,0;-3.05845795;-30.581169;galaxySED/Exp.62E09.02Z.spec.gz;4.76811346e-07;4.73465634e-07;4;0.0983493999;4.13792836;R:0,0 S:1,0;1.14830959
sersic;2155049256986;1.54546477;-4.81577087;R:0,0 S:1,0;-27.2495208;-27.560161;galaxySED/Burst.25E09.02Z.spec.gz;6.87545779e-07;6.77580453e-07;4;0.141816497;5.54098255;R:0,0 S:1,0;1.11025977
