prefix,uniqueId,raPhoSim,decPhoSim,phoSimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,internalExtinctionModel,internalAv,internalRv,galacticExtinctionModel,galacticAv,galacticRv
object,8621504538,52.8237539,-27.3032223,19.6977314,galaxySED/Burst.80E09.04Z.spec.gz,0.37,0,0,0,0,0,sersic2d,4.27940022e-06,3.50874186e-06,1.6743783,4,CCM,0.100000001,3.0999999,CCM,0.0319537709,3.1
object,8651367450,52.7472496,-27.3673795,20.5688099,galaxySED/Inst.25E09.02Z.spec.gz,0.496,0,0,0,0,0,sersic2d,4.53000431e-06,2.99673556e-06,1.11203514,4,CCM,0.0,3.0999999,CCM,0.029116715,3.1
object,8684649498,53.2809949,-27.4730011,21.1090187,galaxySED/Burst.32E09.02Z.spec.gz,0.502,0,0,0,0,0,sersic2d,8.17982785e-06,5.04300947e-06,1.1221844,4,CCM,0.0,3.0999999,CCM,0.0193278941,3.1
object,8704202778,53.1003499,-27.6180102,19.9638085,galaxySED/Inst.25E09.02Z.spec.gz,0.326,0,0,0,0,0,sersic2d,4.30163126e-06,3.31141209e-06,1.95457154,4,CCM,0.0,3.0999999,CCM,0.0300279365,3.1
object,9399493658,53.0633318,-27.6656497,20.2535271,galaxySED/Burst.32E09.04Z.spec.gz,0.398,0,0,0,0,0,sersic2d,1.36410853e-05,4.21003724e-06,-1.6125186,4,CCM,0.200000003,3.0999999,CCM,0.0297886166,3.1
object,9854738458,53.1905563,-27.6296527,21.1248345,galaxySED/Burst.62E09.04Z.spec.gz,0.53,0,0,0,0,0,sersic2d,9.42884657e-06,8.10484416e-06,-1.57312652,4,CCM,0.0,3.0999999,CCM,0.0268185564,3.1
object,10020701210,52.7857951,-27.526226,20.4362396,galaxySED/Inst.25E09.02Z.spec.gz,0.384,0,0,0,0,0,sersic2d,3.51344132e-06,2.71318831e-06,2.00813046,4,CCM,0.100000001,3.0999999,CCM,0.0309728868,3.1
object,10065366042,53.1651555,-27.3474275,21.5386814,galaxySED/Inst.50E09.04Z.spec.gz,0.588,0,0,0,0,0,sersic2d,6.77558073e-06,3.8679175e-06,-1.74203215,4,CCM,0.200000003,3.0999999,CCM,0.0195975371,3.1
object,10353375258,52.748244,-27.5987078,21.592688,galaxySED/Inst.32E09.04Z.spec.gz,0.648,0,0,0,0,0,sersic2d,3.9450448e-06,3.14397466e-06,-1.07466258,4,CCM,0.100000001,3.0999999,CCM,0.0298479353,3.1
object,10357601306,52.9830592,-27.4379168,16.7431845,galaxySED/Inst.32E09.02Z.spec.gz,0.072,0,0,0,0,0,sersic2d,1.741334e-05,1.24261942e-05,-2.28641797,4,CCM,0.300000012,3.0999999,CCM,0.0287106793,3.1
object,10538150938,53.2357076,-27.2900016,22.7933716,galaxySED/Inst.40E09.04Z.spec.gz,0.808,0,0,0,0,0,sersic2d,6.05598702e-06,5.02692706e-06,-1.07372184,4,CCM,0.0,3.0999999,CCM,0.0225535757,3.1
object,11357188122,53.2958201,-27.5912778,20.1416573,galaxySED/Inst.20E09.02Z.spec.gz,0.548,0,0,0,0,0,sersic2d,1.04636249e-05,8.22776902e-06,-1.94355502,4,CCM,0.100000001,3.0999999,CCM,0.020153891,3.1
object,11794322458,52.9919689,-27.164635,19.6977314,galaxySED/Burst.80E09.04Z.spec.gz,0.37,0,0,0,0,0,sersic2d,4.27940022e-06,3.50874186e-06,1.6743783,4,CCM,0.0,3.0999999,CCM,0.0225734421,3.1
object,11807794202,53.3429052,-27.4010415,21.2975277,galaxySED/Inst.40E09.04Z.spec.gz,0.518,0,0,0,0,0,sersic2d,5.59467632e-06,3.76385598e-06,-2.02753328,4,CCM,0.0,3.0999999,CCM,0.0229873263,3.1
object,11816612890,52.8020408,-27.6228555,22.9531235,galaxySED/Burst.62E09.04Z.spec.gz,1.092,0,0,0,0,0,sersic2d,3.05072598e-06,2.09825913e-06,-1.43017864,4,CCM,0.0,3.0999999,CCM,0.0287439214,3.1
object,11958503450,53.2171502,-27.558191,22.5979981,galaxySED/Inst.20E09.02Z.spec.gz,0.842,0,0,0,0,0,sersic2d,6.24049665e-06,4.80150052e-06,1.10973863,4,CCM,0.400000006,3.0999999,CCM,0.0242042042,3.1
object,12000470042,53.0785638,-27.1832141,21.3970913,galaxySED/Burst.32E09.02Z.spec.gz,0.514,0,0,0,0,0,sersic2d,7.60009485e-06,6.91645233e-06,2.90562763,4,CCM,0.200000003,3.0999999,CCM,0.0229140101,3.1
object,12118736922,53.3192488,-27.4738948,21.2194618,galaxySED/Inst.20E09.02Z.spec.gz,0.684,0,0,0,0,0,sersic2d,6.36814013e-06,4.20770592e-06,-3.03851351,4,CCM,0.0,3.0999999,CCM,0.0225990767,3.1
object,12453613594,53.0141739,-27.3828855,21.2096104,galaxySED/Inst.20E09.02Z.spec.gz,0.576,0,0,0,0,0,sersic2d,6.12189798e-06,4.3769532e-06,-0.254319779,4,CCM,0.0,3.0999999,CCM,0.026765532,3.1
object,12471007258,53.1939923,-27.356759,21.2253212,galaxySED/Burst.32E09.02Z.spec.gz,0.592,0,0,0,0,0,sersic2d,8.53936864e-06,2.39298898e-06,0.733317539,4,CCM,0.200000003,3.0999999,CCM,0.0214958486,3.1
object,12597740570,53.0612362,-27.5892167,20.2823967,galaxySED/Inst.20E09.02Z.spec.gz,0.42,0,0,0,0,0,sersic2d,7.40794436e-06,6.41228626e-06,0.318223439,4,CCM,0.300000012,3.0999999,CCM,0.0295228878,3.1
object,12615974938,53.1957457,-27.6135964,23.219643,galaxySED/Burst.40E09.04Z.spec.gz,0.994,0,0,0,0,0,sersic2d,2.19255405e-06,1.45427396e-06,-0.154587145,4,CCM,0.0,3.0999999,CCM,0.0263907012,3.1
object,13117232154,53.2627628,-27.2775303,20.1921829,galaxySED/Burst.32E09.02Z.spec.gz,0.364,0,0,0,0,0,sersic2d,3.26769976e-06,5.06807488e-07,-0.365806874,4,CCM,0.300000012,3.0999999,CCM,0.024162586,3.1
object,13189046298,52.94112,-27.1811766,19.9356827,galaxySED/Inst.40E09.04Z.spec.gz,0.494,0,0,0,0,0,sersic2d,8.93661672e-06,5.79227617e-06,-1.72844808,4,CCM,0.0,3.0999999,CCM,0.0231409752,3.1
object,13293599770,53.0318743,-27.1517985,20.765736,galaxySED/Burst.25E09.02Z.spec.gz,0.552,0,0,0,0,0,sersic2d,1.20336823e-05,5.86448992e-06,0.95750159,4,CCM,0.400000006,3.0999999,CCM,0.0230290542,3.1
object,13321112602,53.1213196,-27.6694107,22.5979981,galaxySED/Inst.20E09.02Z.spec.gz,0.842,0,0,0,0,0,sersic2d,6.24049665e-06,4.80150052e-06,1.10973863,4,CCM,0.0,3.0999999,CCM,0.0296401943,3.1
object,13890284570,52.7852061,-27.4275446,22.5979981,galaxySED/Inst.20E09.02Z.spec.gz,0.842,0,0,0,0,0,sersic2d,6.24049665e-06,4.80150052e-06,1.10973863,4,CCM,0.200000003,3.0999999,CCM,0.0297206686,3.1
object,14176802842,53.1707534,-27.1825504,19.6977314,galaxySED/Burst.80E09.04Z.spec.gz,0.37,0,0,0,0,0,sersic2d,4.27940022e-06,3.50874186e-06,1.6743783,4,CCM,0.100000001,3.0999999,CCM,0.0223946219,3.1
object,14446630938,52.7959133,-27.2669323,19.6977314,galaxySED/Burst.80E09.04Z.spec.gz,0.37,0,0,0,0,0,sersic2d,4.27940022e-06,3.50874186e-06,1.6743783,4,CCM,0.100000001,3.0999999,CCM,0.034302768,3.1
object,14544366618,53.2281587,-27.462282,18.7305016,galaxySED/Burst.32E09.04Z.spec.gz,0.18,0,0,0,0,0,sersic2d,8.1519858e-06,5.9700049e-06,-2.98062268,4,CCM,0.300000012,3.0999999,CCM,0.0208780686,3.1
