prefix,uniqueId,raPhoSim,decPhoSim,phoSimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,internalExtinctionModel,galacticExtinctionModel,galacticAv,galacticRv,twinkles_system,twinkles_img_num,lens_galaxy_uID
object,11399077868572,53.0420506,-27.3546326,23.458593,agnSED/agn.spec.gz,3.26,0,0,0,0,0,point,none,CCM,0.0242661528,3.1,495,1,1139907610
object,12729785565212,52.9256464,-27.5215518,23.1512636,agnSED/agn.spec.gz,1.15,0,0,0,0,0,point,none,CCM,0.0269055124,3.1,304,0,1272978458
object,12729785566236,52.9255072,-27.5212319,22.6031797,agnSED/agn.spec.gz,1.15,0,0,0,0,0,point,none,CCM,0.0269335504,3.1,304,1,1272978458
object,13159835463708,53.2120274,-27.3361009,21.8035591,agnSED/agn.spec.gz,1.92,0,0,0,0,0,point,none,CCM,0.0209991521,3.1,455,0,1315983386
object,13159835464732,53.2117331,-27.3359711,21.493019,agnSED/agn.spec.gz,1.92,0,0,0,0,0,point,none,CCM,0.0209874572,3.1,455,1,1315983386
object,13159835465756,53.2123208,-27.3357956,21.7823323,agnSED/agn.spec.gz,1.92,0,0,0,0,0,point,none,CCM,0.0209923578,3.1,455,2,1315983386
object,13159835466780,53.2119201,-27.3356474,22.0322562,agnSED/agn.spec.gz,1.92,0,0,0,0,0,point,none,CCM,0.0209776405,3.1,455,3,1315983386
object,13205637955612,52.7942378,-27.2513363,21.6386997,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.034038418,3.1,204,0,1320563738
object,13205637956636,52.7946128,-27.2511372,22.3166121,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.0340314417,3.1,204,1,1320563738
object,13205637957660,52.7940765,-27.2511195,21.8610185,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.0340240329,3.1,204,2,1320563738
object,13205637958684,52.7943443,-27.2508448,21.8014151,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.0340114064,3.1,204,3,1320563738
object,13214803370012,53.0297266,-27.5050943,20.9736802,agnSED/agn.spec.gz,1.84,0,0,0,0,0,point,none,CCM,0.0280586748,3.1,354,0,1321480218
object,13214803371036,53.0294207,-27.5049425,23.1950719,agnSED/agn.spec.gz,1.84,0,0,0,0,0,point,none,CCM,0.0280522397,3.1,354,1,1321480218
object,13740514000924,52.7475187,-27.2633329,22.7933238,agnSED/agn.spec.gz,0.74,0,0,0,0,0,point,none,CCM,0.0338500734,3.1,176,0,1374051354
object,13740514001948,52.747167,-27.2631587,23.5600593,agnSED/agn.spec.gz,0.74,0,0,0,0,0,point,none,CCM,0.0338364725,3.1,176,1,1374051354
object,14512602247196,53.1650045,-27.1955116,22.1763221,agnSED/agn.spec.gz,2.06,0,0,0,0,0,point,none,CCM,0.0216301842,3.1,783,0,1451259930
object,14512602248220,53.1651639,-27.1954627,21.2996722,agnSED/agn.spec.gz,2.06,0,0,0,0,0,point,none,CCM,0.0216351821,3.1,783,1,1451259930
object,15328051519516,52.8874509,-27.6644602,22.0054817,agnSED/agn.spec.gz,1.97,0,0,0,0,0,point,none,CCM,0.0246820193,3.1,78,0,1532805146
object,15328051520540,52.8870624,-27.664143,21.1140844,agnSED/agn.spec.gz,1.97,0,0,0,0,0,point,none,CCM,0.0246974462,3.1,78,1,1532805146
object,15513426296860,52.9109956,-27.2660269,21.6860319,agnSED/agn.spec.gz,1.18,0,0,0,0,0,point,none,CCM,0.0258764943,3.1,92,0,1551342618
object,15513426297884,52.9110263,-27.2654982,21.2377911,agnSED/agn.spec.gz,1.18,0,0,0,0,0,point,none,CCM,0.025852448,3.1,92,1,1551342618
object,15629179510812,52.787737,-27.6356036,21.4382926,agnSED/agn.spec.gz,1.07,0,0,0,0,0,point,none,CCM,0.0281054873,3.1,154,0,1562917914
object,15629179511836,52.787136,-27.6354547,20.5892406,agnSED/agn.spec.gz,1.07,0,0,0,0,0,point,none,CCM,0.0281141029,3.1,154,1,1562917914
object,15649466429468,53.2589402,-27.3399159,22.8570731,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.022651864,3.1,515,0,1564946458
object,15649466430492,53.2588522,-27.33973,23.4121037,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.0226524849,3.1,515,1,1564946458
object,16800471343132,52.7808805,-27.4353915,22.27787,agnSED/agn.spec.gz,0.66,0,0,0,0,0,point,none,CCM,0.0296309581,3.1,74,0,1680047130
object,16800471344156,52.7811791,-27.4352696,21.7909073,agnSED/agn.spec.gz,0.66,0,0,0,0,0,point,none,CCM,0.0296403078,3.1,74,1,1680047130
object,18375711395868,53.1102826,-27.5595302,21.1011523,agnSED/agn.spec.gz,1.34,0,0,0,0,0,point,none,CCM,0.030917141,3.1,165,0,1837571098
object,18375711396892,53.1102251,-27.559147,21.1529588,agnSED/agn.spec.gz,1.34,0,0,0,0,0,point,none,CCM,0.0309177815,3.1,165,1,1837571098
object,18375732842524,52.80041,-27.5623532,22.1811588,agnSED/agn.spec.gz,1.57,0,0,0,0,0,point,none,CCM,0.0307406088,3.1,401,0,1837573146
object,18375732843548,52.8004623,-27.5622107,23.1616129,agnSED/agn.spec.gz,1.57,0,0,0,0,0,point,none,CCM,0.0307444047,3.1,401,1,1837573146
object,19624450109468,52.8225137,-27.2814511,23.6288479,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.0342386882,3.1,515,0,1962444826
object,19624450110492,52.8224257,-27.2812652,23.7934684,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.0342452979,3.1,515,1,1962444826
object,19946035519516,53.2409444,-27.2254785,22.2144042,agnSED/agn.spec.gz,1.97,0,0,0,0,0,point,none,CCM,0.0240337862,3.1,78,0,1994603546
object,19946035520540,53.2405574,-27.2251613,21.3620113,agnSED/agn.spec.gz,1.97,0,0,0,0,0,point,none,CCM,0.024013425,3.1,78,1,1994603546
object,20034993156124,53.1680509,-27.703483,23.1059264,agnSED/agn.spec.gz,2.41,0,0,0,0,0,point,none,CCM,0.0285689671,3.1,751,0,2003499034
object,20034993157148,53.1681841,-27.7033324,23.2314324,agnSED/agn.spec.gz,2.41,0,0,0,0,0,point,none,CCM,0.028570124,3.1,751,1,2003499034
object,21586831884316,52.7474121,-27.26361,23.3918592,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0338503474,3.1,128,0,2158683162
